year,third_country,indian,change,ad_year,total_arrivals,annual_growth,avg_stay,by_air,by_land,arrivals_by_air,arrivals_by_land,air_share_pct,land_share_pct,avg_stay_days,annual_growth_pct,air_dominance_ratio
1996,271101,122512,8.3,1996.0,393613,8.3,13.5,343246.0,50367.0,343246.0,50367.0,87.2,12.8,13.5,8.3,0.8720392873202867
1997,288419,133438,7.2,1997.0,421857,7.2,10.49,371145.0,50712.0,371145.0,50712.0,88.0,12.0,10.49,7.2,0.8797886487601249
1998,320455,143229,9.9,1998.0,463684,9.9,10.76,398008.0,65676.0,398008.0,65676.0,85.8,14.2,10.76,9.9,0.8583604351239206
1999,350843,140661,6.0,1999.0,491504,6.0,12.28,421243.0,70261.0,421243.0,70261.0,85.7,14.3,12.28,6.0,0.8570489762036525
2000,367731,95915,-5.7,2000.0,463646,-5.7,11.88,376914.0,86732.0,376914.0,86732.0,81.3,18.7,11.88,-5.7,0.8129348684125389
2001,296917,64320,-22.1,2001.0,361237,-22.1,11.93,299514.0,61723.0,299514.0,61723.0,82.9,17.1,11.93,-22.1,0.8291343356300711
2002,208691,66777,-23.7,2002.0,275468,-23.7,7.92,218660.0,56808.0,218660.0,56808.0,79.4,20.6,7.92,-23.7,0.7937764096011152
2003,251769,86363,22.7,2003.0,338132,22.7,9.6,275438.0,62694.0,275438.0,62694.0,81.5,18.5,9.6,22.7,0.8145872026309252
2004,294971,90326,13.9,2004.0,385297,13.9,13.51,297335.0,87962.0,297335.0,87962.0,77.2,22.8,13.51,13.9,0.771703387257103
2005,278964,96434,-2.6,2005.0,375398,-2.6,9.09,277346.0,98052.0,277346.0,98052.0,73.9,26.1,9.09,-2.6,0.7388052147320977
2006,290204,93722,2.3,2006.0,383926,2.3,10.2,283819.0,100107.0,283819.0,100107.0,73.9,26.1,10.2,2.3,0.7392544396576424
2007,430695,96010,37.2,2007.0,526705,37.2,11.96,360713.0,165992.0,360713.0,165992.0,68.5,31.5,11.96,37.2,0.6848482547156378
2008,409100,91177,-5.0,2008.0,500277,-5.0,11.78,374661.0,125616.0,374661.0,125616.0,74.9,25.1,11.78,-5.0,0.7489071054635732
2009,416072,93884,1.9,2009.0,509956,1.9,11.32,379322.0,130634.0,379322.0,130634.0,74.4,25.6,11.32,1.9,0.7438328012612853
2010,481969,120898,18.2,2010.0,602867,18.2,12.67,448800.0,154067.0,448800.0,154067.0,74.4,25.6,12.67,18.2,0.7444428041342452
2011,586711,149504,22.1,2011.0,736215,22.1,13.12,545221.0,190994.0,545221.0,190994.0,74.1,25.9,13.12,22.1,0.7405730662917762
2012,637277,165815,9.1,2012.0,803092,9.1,12.16,598258.0,204834.0,598258.0,204834.0,74.5,25.5,12.16,9.1,0.7449432941680405
2013,616642,180974,-0.7,2013.0,797616,-0.7,12.6,594848.0,202768.0,594848.0,202768.0,74.6,25.4,12.6,-0.7,0.745782431646306
2014,654775,135343,-0.9,2014.0,790118,-0.9,12.44,585981.0,204137.0,585981.0,204137.0,74.2,25.8,12.44,-0.9,0.7416373250577761
2015,464156,74814,-31.0,2015.0,538970,-32.0,13.16,407412.0,131558.0,407412.0,131558.0,75.6,24.4,13.16,-32.0,0.7559084921238659
2016,634753,118249,40.0,2016.0,753002,40.0,13.4,572563.0,180439.0,572563.0,180439.0,76.0,24.0,13.4,40.0,0.7603738104281264
2017,779386,160832,25.0,2017.0,940218,25.0,12.6,760577.0,179641.0,760577.0,179641.0,81.0,19.0,12.6,25.0,0.8089368635784467
2018,978749,194323,25.0,2018.0,1173072,25.0,12.4,969287.0,203785.0,969287.0,203785.0,82.63,17.37,12.4,25.0,0.8262809102936564
2019,943041,254150,2.0,2019.0,1197191,2.05,12.7,995884.0,201307.0,995884.0,201307.0,83.19,16.81,12.7,2.05,0.8318505568451483
2020,189749,40336,-80.7,2020.0,230085,-80.7,15.1,183130.0,46955.0,183130.0,46955.0,79.6,20.4,15.1,-80.7,0.7959232457570028
2021,86290,64672,-34.3,2021.0,150962,-34.3,15.5,150625.0,337.0,150625.0,337.0,99.7,0.3,15.5,-34.3,0.9977676501371207
2022,405535,209334,307.3,2022.0,614869,307.3,13.1,592631.0,22238.0,592631.0,22238.0,96.4,3.6,13.1,307.3,0.9638329465300739
2023,694946,319936,65.05,2023.0,1014882,65.05,13.2,914270.0,100612.0,914270.0,100612.0,90.09,9.91,13.2,65.05,0.900863351601467
2024,829767,317781,13.07,2024.0,1147548,13.07,13.3,1023937.0,123611.0,1023937.0,123611.0,89.23,10.77,13.3,13.07,0.8922825014727053
