complaint_type,year,complaints,ad_year
Lost documents and belongings,2020.0,163,2020.0
Stolen,2020.0,24,2020.0
Fraud/ Cheating,2020.0,13,2020.0
Robbery/Theft,2020.0,13,2020.0
Missing Person,2020.0,5,2020.0
Harassment,2020.0,2,2020.0
Others,2020.0,2,2020.0
Dispute,2020.0,1,2020.0
Threat,2020.0,0,2020.0
Pickpocketing,2020.0,0,2020.0
Misbehaviour,2020.0,0,2020.0
Against Foreigner,2020.0,0,2020.0
Lost documents and belongings,2021.0,68,2021.0
Fraud/ Cheating,2021.0,15,2021.0
Dispute,2021.0,6,2021.0
Stolen,2021.0,3,2021.0
Robbery/Theft,2021.0,2,2021.0
Missing Person,2021.0,0,2021.0
Harassment,2021.0,0,2021.0
Threat,2021.0,0,2021.0
Pickpocketing,2021.0,0,2021.0
Misbehaviour,2021.0,0,2021.0
Against Foreigner,2021.0,0,2021.0
Others,2021.0,0,2021.0
Lost documents and belongings,2022.0,221,2022.0
Robbery/Theft,2022.0,29,2022.0
Stolen,2022.0,21,2022.0
Fraud/ Cheating,2022.0,20,2022.0
Dispute,2022.0,11,2022.0
Others,2022.0,7,2022.0
Missing Person,2022.0,6,2022.0
Harassment,2022.0,4,2022.0
Threat,2022.0,3,2022.0
Against Foreigner,2022.0,1,2022.0
Pickpocketing,2022.0,0,2022.0
Misbehaviour,2022.0,0,2022.0
Lost documents and belongings,2023.0,368,2023.0
Stolen,2023.0,97,2023.0
Dispute,2023.0,40,2023.0
Fraud/ Cheating,2023.0,28,2023.0
Others,2023.0,14,2023.0
Robbery/Theft,2023.0,10,2023.0
Threat,2023.0,3,2023.0
Missing Person,2023.0,2,2023.0
Harassment,2023.0,2,2023.0
Pickpocketing,2023.0,0,2023.0
Misbehaviour,2023.0,0,2023.0
Against Foreigner,2023.0,0,2023.0
Lost documents and belongings,2024.0,353,2024.0
Stolen,2024.0,39,2024.0
Fraud/ Cheating,2024.0,10,2024.0
Missing Person,2024.0,9,2024.0
Dispute,2024.0,8,2024.0
Pickpocketing,2024.0,5,2024.0
Robbery/Theft,2024.0,3,2024.0
Misbehaviour,2024.0,1,2024.0
Harassment,2024.0,0,2024.0
Threat,2024.0,0,2024.0
Against Foreigner,2024.0,0,2024.0
Others,2024.0,0,2024.0
