course_type,year,graduates,ad_year
Trekking Guide,2014.0,1551.0,2014.0
Tourist Guide,2014.0,312.0,2014.0
Tourism In-service Training,2014.0,221.0,2014.0
Food Preparation & Control,2014.0,146.0,2014.0
Mobile/LodgeMgt./Homestay/FoodSafetyTraining,2014.0,133.0,2014.0
Bachelor of Hotel Management,2014.0,125.0,2014.0
BachelorofTravel&TourismManagement,2014.0,84.0,2014.0
Hospitality/Household Mgt.,2014.0,81.0,2014.0
River Guide/Adventure Tourism,2014.0,44.0,2014.0
MasterofHospitalityManagement,2014.0,36.0,2014.0
Food & Beverage Service,2014.0,33.0,2014.0
Local Guide in Different Areas,2014.0,18.0,2014.0
Trekking Guide,2015.0,1772.0,2015.0
Mobile/LodgeMgt./Homestay/FoodSafetyTraining,2015.0,608.0,2015.0
Tourist Guide,2015.0,227.0,2015.0
Bachelor of Hotel Management,2015.0,168.0,2015.0
BachelorofTravel&TourismManagement,2015.0,125.0,2015.0
Tourism In-service Training,2015.0,105.0,2015.0
Food Preparation & Control,2015.0,83.0,2015.0
River Guide/Adventure Tourism,2015.0,66.0,2015.0
Hospitality/Household Mgt.,2015.0,51.0,2015.0
MasterofHospitalityManagement,2015.0,39.0,2015.0
Food & Beverage Service,2015.0,17.0,2015.0
Local Guide in Different Areas,2015.0,11.0,2015.0
Mobile/LodgeMgt./Homestay/FoodSafetyTraining,2016.0,540.0,2016.0
Trekking Guide,2016.0,435.0,2016.0
Tourist Guide,2016.0,201.0,2016.0
Bachelor of Hotel Management,2016.0,167.0,2016.0
BachelorofTravel&TourismManagement,2016.0,126.0,2016.0
Food Preparation & Control,2016.0,80.0,2016.0
Tourism In-service Training,2016.0,77.0,2016.0
Trekking Porter Guide,2016.0,61.0,2016.0
Hospitality/Household Mgt.,2016.0,60.0,2016.0
River Guide/Adventure Tourism,2016.0,47.0,2016.0
MasterofHospitalityManagement,2016.0,40.0,2016.0
Local Guide in Different Areas,2016.0,14.0,2016.0
Food & Beverage Service,2016.0,13.0,2016.0
Trekking Guide,2017.0,800.0,2017.0
Mobile/LodgeMgt./Homestay/FoodSafetyTraining,2017.0,436.0,2017.0
Tourist Guide,2017.0,174.0,2017.0
Bachelor of Hotel Management,2017.0,167.0,2017.0
Tourism In-service Training,2017.0,156.0,2017.0
BachelorofTravel&TourismManagement,2017.0,126.0,2017.0
Local Guide in Different Areas,2017.0,114.0,2017.0
Trekking Porter Guide,2017.0,101.0,2017.0
River Guide/Adventure Tourism,2017.0,85.0,2017.0
Food Preparation & Control,2017.0,70.0,2017.0
MasterofHospitalityManagement,2017.0,39.0,2017.0
Hospitality/Household Mgt.,2017.0,15.0,2017.0
Food & Beverage Service,2017.0,9.0,2017.0
Trekking Guide,2018.0,1654.0,2018.0
Mobile/LodgeMgt./Homestay/FoodSafetyTraining,2018.0,431.0,2018.0
Tourist Guide,2018.0,218.0,2018.0
Trekking Porter Guide,2018.0,181.0,2018.0
Bachelor of Hotel Management,2018.0,167.0,2018.0
Local Guide in Different Areas,2018.0,148.0,2018.0
Food Preparation & Control,2018.0,138.0,2018.0
BachelorofTravel&TourismManagement,2018.0,125.0,2018.0
Tourism In-service Training,2018.0,112.0,2018.0
River Guide/Adventure Tourism,2018.0,51.0,2018.0
Hospitality/Household Mgt.,2018.0,41.0,2018.0
MasterofHospitalityManagement,2018.0,29.0,2018.0
Food & Beverage Service,2018.0,24.0,2018.0
Trekking Guide,2019.0,1175.0,2019.0
Mobile/LodgeMgt./Homestay/FoodSafetyTraining,2019.0,501.0,2019.0
Hospitality/Household Mgt.,2019.0,354.0,2019.0
Trekking Porter Guide,2019.0,332.0,2019.0
Tourist Guide,2019.0,323.0,2019.0
Bachelor of Hotel Management,2019.0,252.0,2019.0
Tourism In-service Training,2019.0,177.0,2019.0
BachelorofTravel&TourismManagement,2019.0,168.0,2019.0
Food Preparation & Control,2019.0,142.0,2019.0
Local Guide in Different Areas,2019.0,94.0,2019.0
River Guide/Adventure Tourism,2019.0,66.0,2019.0
Food & Beverage Service,2019.0,53.0,2019.0
MasterofHospitalityManagement,2019.0,33.0,2019.0
Hospitality/Household Mgt.,2020.0,112782.0,2020.0
Mobile/LodgeMgt./Homestay/FoodSafetyTraining,2020.0,41184.0,2020.0
Trekking Guide,2020.0,911.0,2020.0
Bachelor of Hotel Management,2020.0,252.0,2020.0
Trekking Porter Guide,2020.0,192.0,2020.0
BachelorofTravel&TourismManagement,2020.0,168.0,2020.0
River Guide/Adventure Tourism,2020.0,110.0,2020.0
Tourism In-service Training,2020.0,79.0,2020.0
Bakery/Indian Sweets,2020.0,45.0,2020.0
Food Preparation & Control,2020.0,42.0,2020.0
MasterofHospitalityManagement,2020.0,40.0,2020.0
Tourist Guide,2020.0,26.0,2020.0
Barista Training,2020.0,8.0,2020.0
Food & Beverage Service,2020.0,,2020.0
Local Guide in Different Areas,2020.0,,2020.0
Trekking Guide,2021.0,262.0,2021.0
Bachelor of Hotel Management,2021.0,252.0,2021.0
Mobile/LodgeMgt./Homestay/FoodSafetyTraining,2021.0,174.0,2021.0
BachelorofTravel&TourismManagement,2021.0,168.0,2021.0
Tourism In-service Training,2021.0,137.0,2021.0
Tourist Guide,2021.0,128.0,2021.0
Bakery/Indian Sweets,2021.0,62.0,2021.0
River Guide/Adventure Tourism,2021.0,34.0,2021.0
Barista Training,2021.0,32.0,2021.0
MasterofHospitalityManagement,2021.0,0.0,2021.0
Food Preparation & Control,2021.0,,2021.0
Food & Beverage Service,2021.0,,2021.0
Local Guide in Different Areas,2021.0,,2021.0
Trekking Porter Guide,2021.0,,2021.0
Mobile/LodgeMgt./Homestay/FoodSafetyTraining,2022.0,366.0,2022.0
Trekking Guide,2022.0,154.0,2022.0
Tourism In-service Training,2022.0,149.0,2022.0
Tourist Guide,2022.0,119.0,2022.0
Food Preparation & Control,2022.0,75.0,2022.0
River Guide/Adventure Tourism,2022.0,42.0,2022.0
Barista Training,2022.0,29.0,2022.0
Trekking Porter Guide,2022.0,18.0,2022.0
MasterofHospitalityManagement,2022.0,15.0,2022.0
Bakery/Indian Sweets,2022.0,11.0,2022.0
Bachelor of Hotel Management,2022.0,0.0,2022.0
BachelorofTravel&TourismManagement,2022.0,0.0,2022.0
Food & Beverage Service,2022.0,0.0,2022.0
Local Guide in Different Areas,2022.0,0.0,2022.0
Train the Trainer/HRD,2022.0,0.0,2022.0
Hospitality/Household Mgt.,2022.0,0.0,2022.0
Trekking Guide,2023.0,772.0,2023.0
Mobile/LodgeMgt./Homestay/FoodSafetyTraining,2023.0,472.0,2023.0
Local Guide in Different Areas,2023.0,323.0,2023.0
Bachelor of Hotel Management,2023.0,154.0,2023.0
Tourist Guide,2023.0,144.0,2023.0
BachelorofTravel&TourismManagement,2023.0,123.0,2023.0
Trekking Porter Guide,2023.0,81.0,2023.0
Food Preparation & Control,2023.0,71.0,2023.0
Hospitality/Household Mgt.,2023.0,32.0,2023.0
Bakery/Indian Sweets,2023.0,23.0,2023.0
Barista Training,2023.0,23.0,2023.0
MasterofHospitalityManagement,2023.0,19.0,2023.0
Food & Beverage Service,2023.0,0.0,2023.0
River Guide/Adventure Tourism,2023.0,0.0,2023.0
Train the Trainer/HRD,2023.0,0.0,2023.0
Tourism In-service Training,2023.0,0.0,2023.0
Trekking Guide,2024.0,749.0,2024.0
Trekking Porter Guide,2024.0,407.0,2024.0
Bachelor of Hotel Management,2024.0,243.0,2024.0
Local Guide in Different Areas,2024.0,200.0,2024.0
Mobile/LodgeMgt./Homestay/FoodSafetyTraining,2024.0,192.0,2024.0
Tourist Guide,2024.0,168.0,2024.0
Hospitality/Household Mgt.,2024.0,159.0,2024.0
BachelorofTravel&TourismManagement,2024.0,149.0,2024.0
Food Preparation & Control,2024.0,88.0,2024.0
River Guide/Adventure Tourism,2024.0,69.0,2024.0
Bakery/Indian Sweets,2024.0,36.0,2024.0
Barista Training,2024.0,33.0,2024.0
MasterofHospitalityManagement,2024.0,5.0,2024.0
Food & Beverage Service,2024.0,0.0,2024.0
Train the Trainer/HRD,2024.0,0.0,2024.0
Tourism In-service Training,2024.0,0.0,2024.0
