year,intl_flight_movement_arr,intl_flight_movement_dep,intl_flight_movement_total,intl_pax_movement_in,intl_pax_movement_out,intl_pax_movement_total,dom_flight_movement_arr,dom_flight_movement_dep,dom_passenger_movement_in,dom_passenger_movement_out,air_connectivity_index
2013,11812,11807,23619,1493067,1647235,3140302,34532,34544,769100,773504,92695
2014,13603,13605,27208,1622199,1889448,3511647,34266,34270,728857,721701,95744
2015,13283,13281,26564,1542498,1674664,3217162,32921,32944,683130,680918,92429
2016,13558,13560,27118,1687144,1823598,3510742,36938,36938,880895,876701,100994
2017,16682,16680,33362,1804695,2083150,3887845,46534,46563,1250102,1138481,126459
2019,16946,16951,33897,2180458,2201775,4382233,47779,47788,1472082,1375704,129464
2020,5135,5121,10256,566207,539651,1105858,19292,19306,690419,715358,48854
2021,5882,5878,11760,708602,748327,1456929,40587,40585,1797403,1779539,92932
2022,12158,12154,24312,1556811,1931517,3488328,103849,103886,4216686,5918407,232047
2023,15730,15730,31460,2120350,2420787,4541137,48479,48510,2064962,2085364,128449
2024,16627,16620,33247,2355951,2607515,4963466,51352,51377,2262497,2256761,135976
