year,hotel_count,bed_count,beds_per_hotel
2004.0,996,39107,39.2640562248996
2005.0,1006,39384,39.14910536779324
2006.0,607,24260,39.9670510708402
2007.0,617,24660,39.967585089141004
2008.0,669,26063,38.95814648729447
2009.0,744,28493,38.29704301075269
2010.0,789,29642,37.56907477820025
2011.0,827,30780,37.21886336154776
2012.0,853,31657,37.11254396248535
2013.0,1026,34523,33.648148148148145
2014.0,1075,36179,33.65488372093023
2015.0,1073,36950,34.43616029822926
2016.0,1105,38242,34.60814479638009
2017.0,1102,39833,36.14609800362977
2018.0,1254,40856,32.58054226475279
2019.0,1289,43999,34.13421256788208
2020.0,1313,45850,34.92003046458492
2021.0,1345,48412,35.99405204460967
2022.0,1401,53365,38.09064953604568
2023.0,1416,54370,38.39689265536723
2024.0,1578,62642,39.69708491761724
