year,month,month_num,date,total_monthly_arrivals,foreign_monthly_arrivals,indian_air_monthly_arrivals,estimated_indian_arrivals,foreign_share_pct,season,rolling_3m_arrivals,arrival_period
1995,Jan,1,1995-01-01,22207,15758.0,6449.0,6449.0,70.95960733102174,Winter,22207.0,1995-2004
1995,Feb,2,1995-02-01,28240,19482.0,8758.0,8758.0,68.98725212464589,Winter,25223.5,1995-2004
1995,Mar,3,1995-03-01,34219,25381.0,8838.0,8838.0,74.17224349045853,Spring,28222.0,1995-2004
1995,Apr,4,1995-04-01,33994,23419.0,10575.0,10575.0,68.89156910042948,Spring,32151.0,1995-2004
1995,May,5,1995-05-01,27843,12491.0,15352.0,15352.0,44.86226340552383,Spring,32018.666666666668,1995-2004
1995,Jun,6,1995-06-01,25650,9270.0,16380.0,16380.0,36.140350877192986,Monsoon,29162.333333333332,1995-2004
1995,Jul,7,1995-07-01,23980,,,,,Monsoon,25824.333333333332,1995-2004
1995,Aug,8,1995-08-01,27686,20211.0,7475.0,7475.0,73.00079462544247,Monsoon,25772.0,1995-2004
1995,Sep,9,1995-09-01,30569,22344.0,8225.0,8225.0,73.09365697275018,Autumn,27411.666666666668,1995-2004
1995,Oct,10,1995-10-01,46845,38398.0,8447.0,8447.0,81.96819297683851,Autumn,35033.333333333336,1995-2004
1995,Nov,11,1995-11-01,35782,28177.0,7605.0,7605.0,78.74629702084846,Autumn,37732.0,1995-2004
1995,Dec,12,1995-12-01,26380,17063.0,9317.0,9317.0,64.68157695223654,Winter,36335.666666666664,1995-2004
1996,Jan,1,1996-01-01,27886,17678.0,10208.0,10208.0,63.3938176862942,Winter,27886.0,1995-2004
1996,Feb,2,1996-02-01,29676,23629.0,6047.0,6047.0,79.62326459091523,Winter,28781.0,1995-2004
1996,Mar,3,1996-03-01,39336,31738.0,7598.0,7598.0,80.68436038234697,Spring,32299.333333333332,1995-2004
1996,Apr,4,1996-04-01,36331,25458.0,10873.0,10873.0,70.07238996999807,Spring,35114.333333333336,1995-2004
1996,May,5,1996-05-01,29728,14042.0,15686.0,15686.0,47.23493003229279,Spring,35131.666666666664,1995-2004
1996,Jun,6,1996-06-01,26749,9777.0,16972.0,16972.0,36.55089909903174,Monsoon,30936.0,1995-2004
1996,Jul,7,1996-07-01,22684,,,,,Monsoon,26387.0,1995-2004
1996,Aug,8,1996-08-01,29080,21833.0,7247.0,7247.0,75.07909215955983,Monsoon,26171.0,1995-2004
1996,Sep,9,1996-09-01,32181,23201.0,8980.0,8980.0,72.09533575712376,Autumn,27981.666666666668,1995-2004
