nationality,year,month,arrivals,annual_nationality_total,ad_year,month_num,date,monthly_share_pct
nan,,,,,,,2000-01-01,
Australia,2020,Jan,3008.0,6793.0,2020.0,1.0,2020-01-01,4.788283985991723
China,2020,Jan,13329.0,19257.0,2020.0,1.0,2020-01-01,21.21776504297994
Others,2020,Jan,12454.0,38908.0,2020.0,1.0,2020-01-01,19.824896529767592
France,2020,Jan,1106.0,4540.0,2020.0,1.0,2020-01-01,1.7605858007004138
Germany,2020,Jan,1405.0,5896.0,2020.0,1.0,2020-01-01,2.236548869786692
Bangladesh,2020,Jan,2285.0,4917.0,2020.0,1.0,2020-01-01,3.637376631645973
Italy,2020,Jan,655.0,1599.0,2020.0,1.0,2020-01-01,1.0426615727475326
Japan,2020,Jan,2003.0,5599.0,2020.0,1.0,2020-01-01,3.1884750079592488
USA,2020,Jan,6383.0,17767.0,2020.0,1.0,2020-01-01,10.16077682266794
Malaysia,2020,Jan,1179.0,3460.0,2020.0,1.0,2020-01-01,1.8767908309455585
Myanmar,2020,Jan,4447.0,20911.0,2020.0,1.0,2020-01-01,7.078955746577523
South Korea,2020,Jan,4559.0,6944.0,2020.0,1.0,2020-01-01,7.257242916268704
UK,2020,Jan,3585.0,11762.0,2020.0,1.0,2020-01-01,5.706781279847182
Spain,2020,Jan,570.0,1625.0,2020.0,1.0,2020-01-01,0.9073543457497613
Sri Lanka,2020,Jan,291.0,13328.0,2020.0,1.0,2020-01-01,0.46322827125119387
Canada,2020,Jan,965.0,3102.0,2020.0,1.0,2020-01-01,1.536134988857052
Netherlands,2020,Jan,591.0,2563.0,2020.0,1.0,2020-01-01,0.9407831900668576
Thailand,2020,Jan,4005.0,20778.0,2020.0,1.0,2020-01-01,6.375358166189112
Sri Lanka,2020,Feb,7369.0,13328.0,2020.0,2.0,2020-02-01,8.845913761644098
Australia,2020,Feb,2542.0,6793.0,2020.0,2.0,2020-02-01,3.0514741188898493
China,2020,Feb,3429.0,19257.0,2020.0,2.0,2020-02-01,4.116248919619706
Others,2020,Feb,16244.0,38908.0,2020.0,2.0,2020-02-01,19.499663881686356
France,2020,Feb,2037.0,4540.0,2020.0,2.0,2020-02-01,2.4452607317775854
Germany,2020,Feb,2659.0,5896.0,2020.0,2.0,2020-02-01,3.191923557092097
