nationality,year,arrivals,arrival_pct_share,ad_year,fx_earnings_npr_million,annual_total_arrivals,estimated_revenue_share_npr_million,estimated_spend_index,is_high_value_market
Total,2014,790118,,2014.0,53428.6,790118,,,Mass Market
Others,2014,218639,27.7,2014.0,53428.6,790118,14799.7222,0.06769022086635962,Mass Market
India,2014,135343,17.1,2014.0,53428.6,790118,9136.2906,0.06750471468786713,Mass Market
China,2014,123805,15.7,2014.0,53428.6,790118,8388.2902,0.06775405032106942,Mass Market
U.S.A.,2014,49830,6.3,2014.0,53428.6,790118,3366.0018,0.06754970499698977,Niche/High-value
Sri Lanka,2014,37546,4.8,2014.0,53428.6,790118,2564.5728,0.0683048207532094,Niche/High-value
U.K.,2014,36759,4.7,2014.0,53428.6,790118,2511.1442,0.06831372453004707,Niche/High-value
Thailand,2014,33422,4.2,2014.0,53428.6,790118,2244.0012,0.06714143977021124,Niche/High-value
Japan,2014,25829,3.3,2014.0,53428.6,790118,1763.1437999999998,0.06826217817182237,Niche/High-value
Australia,2014,24516,3.1,2014.0,53428.6,790118,1656.2866000000001,0.06755941426007506,Niche/High-value
France,2014,24097,3.0,2014.0,53428.6,790118,1602.858,0.06651691081877412,Niche/High-value
Germany,2014,18028,2.3,2014.0,53428.6,790118,1228.8577999999998,0.06816384512979808,Niche/High-value
Spain,2014,13110,1.7,2014.0,53428.6,790118,908.2862,0.06928193745232647,Niche/High-value
Netherlands,2014,12320,1.6,2014.0,53428.6,790118,854.8576,0.06938779220779222,Niche/High-value
Canada,2014,11610,1.5,2014.0,53428.6,790118,801.429,0.06902919896640827,Niche/High-value
Italy,2014,10347,1.3,2014.0,53428.6,790118,694.5718,0.06712784381946459,Niche/High-value
Total,2015,538970,,2015.0,41765.3,538970,,,Mass Market
U.K.,2015,204469,3.8,2015.0,41765.3,538970,1587.0814,0.007761965872577261,Niche/High-value
Others,2015,171688,31.9,2015.0,41765.3,538970,13323.130700000002,0.07760082649923117,Mass Market
India,2015,75124,13.9,2015.0,41765.3,538970,5805.376700000001,0.07727725760076674,Mass Market
China,2015,64675,12.0,2015.0,41765.3,538970,5011.836,0.0774926323927329,Mass Market
U.S.A.,2015,53897,10.0,2015.0,41765.3,538970,4176.53,0.07749095496966435,Mass Market
Sri Lanka,2015,43117,8.0,2015.0,41765.3,538970,3341.224,0.077492033304729,Mass Market
Thailand,2015,32338,6.0,2015.0,41765.3,538970,2505.918,0.077491434225988,Niche/High-value
Australia,2015,14816,2.7,2015.0,41765.3,538970,1127.6631000000002,0.07611117035637151,Niche/High-value
Japan,2015,14465,2.7,2015.0,41765.3,538970,1127.6631000000002,0.07795804355340478,Niche/High-value
