park_name,year,foreign_visitors,ad_year,park_share_pct
Chitwan National Park,2010.0,84518.0,2010.0,37.5675627622502
Annapurna Conservation Area,2010.0,78926.0,2010.0,35.08196429841405
Sagarmatha National Park,2010.0,32084.0,2010.0,14.261076737074177
ShivapuriNagarjun National Park,2010.0,11798.0,2010.0,5.244114927814522
Langtang National Park,2010.0,10315.0,2010.0,4.584933504018206
Bardiya National Park,2010.0,3727.0,2010.0,1.6566211507005193
Makalu Barun National Park,2010.0,1323.0,2010.0,0.588062726690847
Gaurishankar Conservation Area,2010.0,983.0,2010.0,0.4369354953417254
SheyPhoksundo National Park,2010.0,558.0,2010.0,0.24802645615532326
KoshiTappu Wildlife Reserve,2010.0,456.0,2010.0,0.20268828675058673
Rara National Park,2010.0,135.0,2010.0,0.0600064006827395
ShuklaPhata Wildlife Reserve,2010.0,115.0,2010.0,0.05111656354455586
Dhorpatan Hunting Reserve,2010.0,26.0,2010.0,0.011556788279638717
Khaptad National Park,2010.0,12.0,2010.0,0.005333902282910178
Parsa Wildlife Reserve,2010.0,,2010.0,
Chitwan National Park,2011.0,122332.0,2011.0,63.017777388562926
Sagarmatha National Park,2011.0,34645.0,2011.0,17.84693209975119
ShivapuriNagarjun National Park,2011.0,15921.0,2011.0,8.201501110120903
Langtang National Park,2011.0,13838.0,2011.0,7.128470093703476
Bardiya National Park,2011.0,4765.0,2011.0,2.4546292814349666
Makalu Barun National Park,2011.0,1501.0,2011.0,0.7732211020847607
SheyPhoksundo National Park,2011.0,512.0,2011.0,0.2637503026431695
ShuklaPhata Wildlife Reserve,2011.0,190.0,2011.0,0.0978760888714887
KoshiTappu Wildlife Reserve,2011.0,181.0,2011.0,0.09323985308283923
Rara National Park,2011.0,174.0,2011.0,0.08963389191388965
Dhorpatan Hunting Reserve,2011.0,28.0,2011.0,0.014423844675798336
Khaptad National Park,2011.0,22.0,2011.0,0.01133302081669869
Parsa Wildlife Reserve,2011.0,14.0,2011.0,0.007211922337899168
Annapurna Conservation Area,2011.0,,2011.0,
Gaurishankar Conservation Area,2011.0,,2011.0,
Chitwan National Park,2012.0,126484.0,2012.0,47.32265788686022
ShivapuriNagarjun National Park,2012.0,82935.0,2012.0,31.029257707273274
Sagarmatha National Park,2012.0,36518.0,2012.0,13.662825501346902
Langtang National Park,2012.0,12649.0,2012.0,4.732490272373541
Bardiya National Park,2012.0,5760.0,2012.0,2.155043400179587
Makalu Barun National Park,2012.0,1520.0,2012.0,0.5686920083807243
SheyPhoksundo National Park,2012.0,679.0,2012.0,0.2540407063753367
KoshiTappu Wildlife Reserve,2012.0,441.0,2012.0,0.16499551032624962
ShuklaPhata Wildlife Reserve,2012.0,144.0,2012.0,0.05387608500448968
Rara National Park,2012.0,49.0,2012.0,0.018332834480694404
Parsa Wildlife Reserve,2012.0,48.0,2012.0,0.01795869500149656
Dhorpatan Hunting Reserve,2012.0,47.0,2012.0,0.017584555522298713
Khaptad National Park,2012.0,6.0,2012.0,0.00224483687518707
Annapurna Conservation Area,2012.0,,2012.0,
Gaurishankar Conservation Area,2012.0,,2012.0,
ShivapuriNagarjun National Park,2013.0,165904.0,2013.0,42.50711637547816
Chitwan National Park,2013.0,153776.0,2013.0,39.399739172988774
Sagarmatha National Park,2013.0,36750.0,2013.0,9.415906348242492
Langtang National Park,2013.0,13370.0,2013.0,3.4255964047891734
Bardiya National Park,2013.0,12974.0,2013.0,3.3241352098530097
KoshiTappu Wildlife Reserve,2013.0,4446.0,2013.0,1.1391325067832958
Makalu Barun National Park,2013.0,1523.0,2013.0,0.39021565628226706
SheyPhoksundo National Park,2013.0,620.0,2013.0,0.15885338601116586
ShuklaPhata Wildlife Reserve,2013.0,471.0,2013.0,0.1206773303407405
Parsa Wildlife Reserve,2013.0,192.0,2013.0,0.049193306635715875
Rara National Park,2013.0,164.0,2013.0,0.04201928275134064
