site,year,month,month_num,date,visitors
Pashupatinath (Foreign),2011.0,January,1,2011-01-01,9225
Pashupatinath (Foreign),2011.0,February,2,2011-02-01,11048
Pashupatinath (Foreign),2011.0,March,3,2011-03-01,13499
Pashupatinath (Foreign),2011.0,April,4,2011-04-01,13300
Pashupatinath (Foreign),2011.0,May,5,2011-05-01,5966
Pashupatinath (Foreign),2011.0,June,6,2011-06-01,4948
Pashupatinath (Foreign),2011.0,July,7,2011-07-01,11264
Pashupatinath (Foreign),2011.0,August,8,2011-08-01,9360
Pashupatinath (Foreign),2011.0,September,9,2011-09-01,17457
Pashupatinath (Foreign),2011.0,October,10,2011-10-01,25565
Pashupatinath (Foreign),2011.0,November,11,2011-11-01,13562
Pashupatinath (Foreign),2011.0,December,12,2011-12-01,8693
Pashupatinath (Foreign),2012.0,January,1,2012-01-01,9035
Pashupatinath (Foreign),2012.0,February,2,2012-02-01,10901
Pashupatinath (Foreign),2012.0,March,3,2012-03-01,14753
Pashupatinath (Foreign),2012.0,April,4,2012-04-01,15601
Pashupatinath (Foreign),2012.0,May,5,2012-05-01,10087
Pashupatinath (Foreign),2012.0,June,6,2012-06-01,5944
Pashupatinath (Foreign),2012.0,July,7,2012-07-01,7887
Pashupatinath (Foreign),2012.0,August,8,2012-08-01,9481
Pashupatinath (Foreign),2012.0,September,9,2012-09-01,13686
Pashupatinath (Foreign),2012.0,October,10,2012-10-01,18202
Pashupatinath (Foreign),2012.0,November,11,2012-11-01,14494
Pashupatinath (Foreign),2012.0,December,12,2012-12-01,9814
Pashupatinath (Foreign),2013.0,January,1,2013-01-01,10298
Pashupatinath (Foreign),2013.0,February,2,2013-02-01,9778
Pashupatinath (Foreign),2013.0,March,3,2013-03-01,14369
Pashupatinath (Foreign),2013.0,April,4,2013-04-01,19101
Pashupatinath (Foreign),2013.0,May,5,2013-05-01,12855
Pashupatinath (Foreign),2013.0,June,6,2013-06-01,5973
Pashupatinath (Foreign),2013.0,July,7,2013-07-01,5043
Pashupatinath (Foreign),2013.0,August,8,2013-08-01,9993
Pashupatinath (Foreign),2013.0,September,9,2013-09-01,9131
Pashupatinath (Foreign),2013.0,October,10,2013-10-01,21473
Pashupatinath (Foreign),2013.0,November,11,2013-11-01,24881
Pashupatinath (Foreign),2013.0,December,12,2013-12-01,13963
Lumbini (Third-country),2014.0,January,1,2014-01-01,8397
Pashupatinath (Foreign),2014.0,January,1,2014-01-01,8592
Lumbini (Indian),2014.0,Jan,1,2014-01-01,6169
Lumbini (Third-country),2014.0,February,2,2014-02-01,17990
Pashupatinath (Foreign),2014.0,February,2,2014-02-01,12705
Lumbini (Indian),2014.0,Feb,2,2014-02-01,5900
Lumbini (Indian),2014.0,March,3,2014-03-01,6425
Lumbini (Third-country),2014.0,March,3,2014-03-01,20109
Pashupatinath (Foreign),2014.0,March,3,2014-03-01,15066
Pashupatinath (Foreign),2014.0,April,4,2014-04-01,17178
Lumbini (Indian),2014.0,April,4,2014-04-01,70267
Lumbini (Third-country),2014.0,April,4,2014-04-01,6879
Pashupatinath (Foreign),2014.0,May,5,2014-05-01,10266
Lumbini (Third-country),2014.0,May,5,2014-05-01,2563
Lumbini (Indian),2014.0,May,5,2014-05-01,10092
Pashupatinath (Foreign),2014.0,June,6,2014-06-01,5590
Lumbini (Third-country),2014.0,June,6,2014-06-01,2125
Lumbini (Indian),2014.0,June,6,2014-06-01,6998
Pashupatinath (Foreign),2014.0,July,7,2014-07-01,8444
Lumbini (Third-country),2014.0,July,7,2014-07-01,2735
Lumbini (Indian),2014.0,July,7,2014-07-01,3393
Lumbini (Third-country),2014.0,August,8,2014-08-01,14154
Pashupatinath (Foreign),2014.0,August,8,2014-08-01,12556
Lumbini (Indian),2014.0,August,8,2014-08-01,4093
Lumbini (Indian),2014.0,Sep,9,2014-09-01,5300
Lumbini (Third-country),2014.0,September,9,2014-09-01,8067
Pashupatinath (Foreign),2014.0,September,9,2014-09-01,14758
Lumbini (Indian),2014.0,Oct,10,2014-10-01,8334
Pashupatinath (Foreign),2014.0,October,10,2014-10-01,28428
Lumbini (Third-country),2014.0,October,10,2014-10-01,16458
Lumbini (Third-country),2014.0,November,11,2014-11-01,21111
Pashupatinath (Foreign),2014.0,November,11,2014-11-01,21997
Lumbini (Indian),2014.0,Nov,11,2014-11-01,16142
Lumbini (Indian),2014.0,Dec,12,2014-12-01,11103
Pashupatinath (Foreign),2014.0,December,12,2014-12-01,10593
Lumbini (Third-country),2014.0,December,12,2014-12-01,12793
Lumbini (Indian),2015.0,Jan,1,2015-01-01,6942
Lumbini (Third-country),2015.0,January,1,2015-01-01,10300
Pashupatinath (Foreign),2015.0,January,1,2015-01-01,9148
Lumbini (Third-country),2015.0,February,2,2015-02-01,17965
Pashupatinath (Foreign),2015.0,February,2,2015-02-01,13167
Lumbini (Indian),2015.0,Feb,2,2015-02-01,6215
Lumbini (Third-country),2015.0,March,3,2015-03-01,23289
Lumbini (Indian),2015.0,March,3,2015-03-01,7932
Pashupatinath (Foreign),2015.0,March,3,2015-03-01,14652
Lumbini (Indian),2015.0,April,4,2015-04-01,77614
Pashupatinath (Foreign),2015.0,April,4,2015-04-01,15777
Lumbini (Third-country),2015.0,April,4,2015-04-01,7953
Pashupatinath (Foreign),2015.0,May,5,2015-05-01,1685
Lumbini (Third-country),2015.0,May,5,2015-05-01,740
Lumbini (Indian),2015.0,May,5,2015-05-01,8595
Lumbini (Indian),2015.0,June,6,2015-06-01,3506
Lumbini (Third-country),2015.0,June,6,2015-06-01,204
Pashupatinath (Foreign),2015.0,June,6,2015-06-01,1786
Pashupatinath (Foreign),2015.0,July,7,2015-07-01,3476
Lumbini (Indian),2015.0,July,7,2015-07-01,2873
Lumbini (Third-country),2015.0,July,7,2015-07-01,1506
Lumbini (Third-country),2015.0,August,8,2015-08-01,13317
Pashupatinath (Foreign),2015.0,August,8,2015-08-01,2501
Lumbini (Indian),2015.0,August,8,2015-08-01,1472
Lumbini (Third-country),2015.0,September,9,2015-09-01,4461
Pashupatinath (Foreign),2015.0,September,9,2015-09-01,4998
Lumbini (Indian),2015.0,Sep,9,2015-09-01,701
Lumbini (Indian),2015.0,Oct,10,2015-10-01,1763
Pashupatinath (Foreign),2015.0,October,10,2015-10-01,3994
Lumbini (Third-country),2015.0,October,10,2015-10-01,10860
Lumbini (Indian),2015.0,Nov,11,2015-11-01,8109
Pashupatinath (Foreign),2015.0,November,11,2015-11-01,4197
Lumbini (Third-country),2015.0,November,11,2015-11-01,22136
Lumbini (Third-country),2015.0,December,12,2015-12-01,16449
Pashupatinath (Foreign),2015.0,December,12,2015-12-01,3299
Lumbini (Indian),2015.0,Dec,12,2015-12-01,4468
Lumbini (Third-country),2016.0,January,1,2016-01-01,6970
Pashupatinath (Foreign),2016.0,January,1,2016-01-01,5960
Lumbini (Indian),2016.0,Jan,1,2016-01-01,2835
Lumbini (Third-country),2016.0,February,2,2016-02-01,19913
Pashupatinath (Foreign),2016.0,February,2,2016-02-01,6207
Lumbini (Indian),2016.0,Feb,2,2016-02-01,3580
Lumbini (Third-country),2016.0,March,3,2016-03-01,21444
Lumbini (Indian),2016.0,March,3,2016-03-01,5190
Pashupatinath (Foreign),2016.0,March,3,2016-03-01,6463
Pashupatinath (Foreign),2016.0,April,4,2016-04-01,8567
Lumbini (Indian),2016.0,April,4,2016-04-01,24975
Lumbini (Third-country),2016.0,April,4,2016-04-01,5245
Pashupatinath (Foreign),2016.0,May,5,2016-05-01,8447
Lumbini (Third-country),2016.0,May,5,2016-05-01,3106
Lumbini (Indian),2016.0,May,5,2016-05-01,24233
Lumbini (Indian),2016.0,June,6,2016-06-01,12380
Lumbini (Third-country),2016.0,June,6,2016-06-01,1585
Pashupatinath (Foreign),2016.0,June,6,2016-06-01,7413
Lumbini (Third-country),2016.0,July,7,2016-07-01,2929
Lumbini (Indian),2016.0,July,7,2016-07-01,5127
Pashupatinath (Foreign),2016.0,July,7,2016-07-01,5604
Lumbini (Third-country),2016.0,August,8,2016-08-01,18007
Lumbini (Indian),2016.0,August,8,2016-08-01,4313
Pashupatinath (Foreign),2016.0,August,8,2016-08-01,5375
Pashupatinath (Foreign),2016.0,September,9,2016-09-01,8047
Lumbini (Third-country),2016.0,September,9,2016-09-01,10941
Lumbini (Indian),2016.0,Sep,9,2016-09-01,5360
Lumbini (Third-country),2016.0,October,10,2016-10-01,15568
Lumbini (Indian),2016.0,Oct,10,2016-10-01,9076
Pashupatinath (Foreign),2016.0,October,10,2016-10-01,13091
Lumbini (Third-country),2016.0,November,11,2016-11-01,19094
Pashupatinath (Foreign),2016.0,November,11,2016-11-01,12918
Lumbini (Indian),2016.0,Nov,11,2016-11-01,28280
Pashupatinath (Foreign),2016.0,December,12,2016-12-01,7319
Lumbini (Indian),2016.0,Dec,12,2016-12-01,8920
Lumbini (Third-country),2016.0,December,12,2016-12-01,11451
Pashupatinath (Foreign),2017.0,January,1,2017-01-01,6673
Lumbini (Third-country),2017.0,January,1,2017-01-01,8846
Lumbini (Indian),2017.0,Jan,1,2017-01-01,18354
Pashupatinath (Foreign),2017.0,February,2,2017-02-01,7503
Lumbini (Indian),2017.0,Feb,2,2017-02-01,10577
Lumbini (Third-country),2017.0,February,2,2017-02-01,23118
Lumbini (Indian),2017.0,March,3,2017-03-01,9721
Pashupatinath (Foreign),2017.0,March,3,2017-03-01,11067
Lumbini (Third-country),2017.0,March,3,2017-03-01,28511
Lumbini (Third-country),2017.0,April,4,2017-04-01,6092
Lumbini (Indian),2017.0,April,4,2017-04-01,13497
Pashupatinath (Foreign),2017.0,April,4,2017-04-01,14204
Lumbini (Third-country),2017.0,May,5,2017-05-01,2639
Lumbini (Indian),2017.0,May,5,2017-05-01,16677
Pashupatinath (Foreign),2017.0,May,5,2017-05-01,8506
Pashupatinath (Foreign),2017.0,June,6,2017-06-01,4319
Lumbini (Indian),2017.0,June,6,2017-06-01,10693
Lumbini (Third-country),2017.0,June,6,2017-06-01,1392
