year,trek_region,trekkers,ad_year,region_share_pct
2001.0,Mustang,922.0,2001.0,27.489564698867024
2001.0,Manaslu,798.0,2001.0,23.792486583184257
2001.0,Kanchanjunga,690.0,2001.0,20.572450805008945
2001.0,Lower Dolpa,488.0,2001.0,14.549791293977341
2001.0,Humla,337.0,2001.0,10.047704233750746
2001.0,Upper Dolpa,119.0,2001.0,3.5480023852116878
2001.0,T.Valley,,2001.0,
2001.0,Narphu,,2001.0,
2001.0,Others,,2001.0,
2002.0,Mustang,536.0,2002.0,27.084386053562405
2002.0,Kanchanjunga,478.0,2002.0,24.153612935826175
2002.0,Manaslu,428.0,2002.0,21.627084386053564
2002.0,Humla,339.0,2002.0,17.12986356745831
2002.0,Upper Dolpa,119.0,2002.0,6.013137948458818
2002.0,Others,79.0,2002.0,3.9919151086407276
2002.0,Lower Dolpa,0.0,2002.0,0.0
2002.0,T.Valley,,2002.0,
2002.0,Narphu,,2002.0,
2003.0,Manaslu,645.0,2003.0,27.27272727272727
2003.0,Mustang,572.0,2003.0,24.186046511627907
2003.0,Kanchanjunga,402.0,2003.0,16.997885835095136
2003.0,Upper Dolpa,369.0,2003.0,15.602536997885835
2003.0,Humla,223.0,2003.0,9.429175475687103
2003.0,Others,154.0,2003.0,6.511627906976744
2003.0,Lower Dolpa,0.0,2003.0,0.0
2003.0,T.Valley,,2003.0,
2003.0,Narphu,,2003.0,
2004.0,Mustang,825.0,2004.0,25.597269624573375
2004.0,Manaslu,682.0,2004.0,21.160409556313994
2004.0,Humla,577.0,2004.0,17.9025752404592
2004.0,Kanchanjunga,458.0,2004.0,14.210363015823765
2004.0,Lower Dolpa,329.0,2004.0,10.20788085634502
2004.0,Others,275.0,2004.0,8.532423208191126
2004.0,Upper Dolpa,77.0,2004.0,2.3890784982935154
2004.0,T.Valley,,2004.0,
2004.0,Narphu,,2004.0,
2005.0,Humla,782.0,2005.0,28.8135593220339
2005.0,Mustang,661.0,2005.0,24.355195283714075
2005.0,Manaslu,544.0,2005.0,20.044215180545322
2005.0,Others,279.0,2005.0,10.28002947678703
2005.0,Lower Dolpa,200.0,2005.0,7.369196757553427
2005.0,Kanchanjunga,167.0,2005.0,6.153279292557111
2005.0,Upper Dolpa,81.0,2005.0,2.984524686809138
2005.0,T.Valley,,2005.0,
2005.0,Narphu,,2005.0,
2006.0,Humla,1256.0,2006.0,40.3598971722365
2006.0,Manaslu,561.0,2006.0,18.026992287917736
2006.0,Others,395.0,2006.0,12.69280205655527
2006.0,Kanchanjunga,335.0,2006.0,10.76478149100257
2006.0,Mustang,248.0,2006.0,7.969151670951156
2006.0,Lower Dolpa,225.0,2006.0,7.230077120822623
2006.0,Upper Dolpa,92.0,2006.0,2.956298200514139
2006.0,T.Valley,,2006.0,
2006.0,Narphu,,2006.0,
2007.0,Humla,1542.0,2007.0,28.94687441336587
2007.0,Mustang,1282.0,2007.0,24.066078468180965
